arm,group,fold,seed,split_seed,inner_fold,val_positive_events,val_pr_auc,val_ece,val_brier,n_features,n_nan_cells,feat_seconds,missing_policy,slope_time
C2_scale_full_half,scales,8,43,2024,2,1,0.0005117707267144319,0.001754606084781216,0.0003189059511346682,65,921108,2.271,nan,index
C3_scale_all_three,scales,0,42,42,0,1,0.00031279324366593683,0.020523326448123522,0.01389372448103325,95,1439430,2.493,nan,index
C3_scale_all_three,scales,0,43,42,0,1,0.000273972602739726,0.019194260584845968,0.013375465202476807,95,1439430,2.493,nan,index
C3_scale_all_three,scales,1,42,42,1,3,0.8054908456891683,0.04826485771278281,0.047059786800534485,95,1439430,2.493,nan,index
C3_scale_all_three,scales,1,43,42,1,3,0.806469380327837,0.04806391359018097,0.04700448960060021,95,1439430,2.493,nan,index
C3_scale_all_three,scales,2,42,42,2,5,0.09284260637395006,0.058439100342124614,0.05769807465292118,95,1439430,2.493,nan,index
C3_scale_all_three,scales,2,43,42,2,5,0.0889209249990486,0.05811767037407164,0.057347557650020135,95,1439430,2.493,nan,index
C3_scale_all_three,scales,3,42,7,0,2,0.1834086799771316,0.023021188410308237,0.02168962845478425,95,1439430,2.493,nan,index
C3_scale_all_three,scales,3,43,7,0,2,0.19009885215672193,0.023694219806496393,0.022224675116598747,95,1439430,2.493,nan,index
C3_scale_all_three,scales,4,42,7,1,1,0.1241741522904877,0.010732216037916676,0.01053919248323679,95,1439430,2.493,nan,index
C3_scale_all_three,scales,4,43,7,1,1,0.13304140109179827,0.010060089246425104,0.010531784283757454,95,1439430,2.493,nan,index
C3_scale_all_three,scales,5,42,7,2,3,0.5401247419064322,0.037629013159580706,0.03697404295339155,95,1439430,2.493,nan,index
C3_scale_all_three,scales,5,43,7,2,3,0.5470173279773802,0.03729020556047988,0.03688639158697833,95,1439430,2.493,nan,index
C3_scale_all_three,scales,6,42,2024,0,5,0.2240959794333801,0.07603305395087526,0.07641836770833606,95,1439430,2.493,nan,index
C3_scale_all_three,scales,6,43,2024,0,5,0.2185568567803828,0.07505888727970855,0.0760047643651913,95,1439430,2.493,nan,index
C3_scale_all_three,scales,7,42,2024,1,1,0.014189336114166331,0.03156574831078549,0.022031836889558065,95,1439430,2.493,nan,index
C3_scale_all_three,scales,7,43,2024,1,1,0.014745038633982523,0.031205187535100286,0.022127656270949547,95,1439430,2.493,nan,index
C3_scale_all_three,scales,8,42,2024,2,1,0.0010384215991692627,0.0021713760905266825,0.0003343965565992542,95,1439430,2.493,nan,index
C3_scale_all_three,scales,8,43,2024,2,1,0.001218026796589525,0.0017141640701549112,0.00026274270846870606,95,1439430,2.493,nan,index
D1_no_presence,presence,0,42,42,0,1,0.0002889338341519792,0.020067851319077852,0.014853592696643598,90,1439430,2.22,nan,index
D1_no_presence,presence,0,43,42,0,1,0.0002942907592701589,0.018852464440956937,0.013456974729981997,90,1439430,2.22,nan,index
D1_no_presence,presence,1,42,42,1,3,0.6369602797404819,0.054176038050006835,0.05171240264658554,90,1439430,2.22,nan,index
D1_no_presence,presence,1,43,42,1,3,0.6511409858465991,0.05365205279467269,0.051123080199214146,90,1439430,2.22,nan,index
D1_no_presence,presence,2,42,42,2,5,0.09828148191282379,0.05827990452628774,0.05764653310640328,90,1439430,2.22,nan,index
D1_no_presence,presence,2,43,42,2,5,0.09419966099955786,0.05848137792263722,0.05789880731046309,90,1439430,2.22,nan,index
D1_no_presence,presence,3,42,7,0,2,0.12215172248103864,0.027481772986206174,0.025623065393199217,90,1439430,2.22,nan,index
D1_no_presence,presence,3,43,7,0,2,0.13120502536671902,0.02751812756760496,0.02540057092649612,90,1439430,2.22,nan,index
D1_no_presence,presence,4,42,7,1,1,0.18555523897599757,0.007441518830818004,0.008215787922004902,90,1439430,2.22,nan,index
D1_no_presence,presence,4,43,7,1,1,0.19417756977018874,0.007301667780028205,0.0083168800330785,90,1439430,2.22,nan,index
D1_no_presence,presence,5,42,7,2,3,0.43557488840445907,0.03089153420912282,0.032438166974559174,90,1439430,2.22,nan,index
D1_no_presence,presence,5,43,7,2,3,0.4328109435433347,0.030853268907535536,0.03195066135521965,90,1439430,2.22,nan,index
D1_no_presence,presence,6,42,2024,0,5,0.21142061836425766,0.07652521956161074,0.0774714351111196,90,1439430,2.22,nan,index
D1_no_presence,presence,6,43,2024,0,5,0.2194003053788165,0.07704695993484495,0.07808523898909052,90,1439430,2.22,nan,index
D1_no_presence,presence,7,42,2024,1,1,0.014458168087736567,0.028089678400310753,0.017299501973922708,90,1439430,2.22,nan,index
D1_no_presence,presence,7,43,2024,1,1,0.016007926392026205,0.023677483359587168,0.015364923591549806,90,1439430,2.22,nan,index
D1_no_presence,presence,8,42,2024,2,1,0.0012285012285012285,0.0012834963519768616,0.00019726437607942409,90,1439430,2.22,nan,index
D1_no_presence,presence,8,43,2024,2,1,0.0011198208286674132,0.0018612909190882415,0.0002318382270894156,90,1439430,2.22,nan,index
